source_kind,source_name,source_path,unit_kind,container_name,sheet_name,slide_number,paragraph_index,table_index,row_index,column_index,cell_label,text,style_json,notes,host_name,host_since
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,33,,,"1583557,Entire Upstairs-2 Bedroom Private/Owner downstairs,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17833,-86.74426,172,30,Entire home/apt,4,1.5 baths,2,2,$160.00 ,121,0.92,4.84,4.83,4.82,4.93,4.98,4.93,4.76","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,34,,,"1587240,Charismatic room in East Nashville,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17868,-86.74394,0,30,Private room,2,1.5 baths,NA,NA,,133,1.02,4.93,4.95,4.92,4.98,4.98,4.96,4.94","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,35,,,"1625117,Cozy/Cute/Very Safe TreeTop apt-no pet fee,8382752,Bobby,8/25/13,f,1,t,t,1,District 7,36.23198,-86.71693,331,1,Entire home/apt,6,1 bath,1,2,$92.00 ,351,2.83,4.26,4.46,4.1,4.84,4.8,4.66,4.34","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,36,,,"1640655,Southern Hospitality - With 2 Rooms! Private Bath!,6154341,Ann,4/29/13,f,1,t,t,1,District 17,36.12397,-86.78047,363,4,Private room,2,1 bath,2,1,$90.00 ,149,1.14,4.9,4.95,4.9,5,4.99,4.84,4.92","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,37,,,"1661560,East Nash tucked away, retro, killer porch, view!,8804227,Kelli Katrice,9/12/13,f,1,t,t,1,District 6,36.17622,-86.73512,217,1,Entire home/apt,6,1 bath,2,2,$183.00 ,132,1.02,4.91,4.92,4.95,4.95,4.96,4.9,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,38,,,"1793477,Ryman Retreat in East Nashville,7509912,Sarah,7/15/13,,1,t,t,2,District 7,36.1986999511719,-86.70629883,296,1,Entire home/apt,6,1 bath,1,3,$130.00 ,564,4.37,4.94,4.96,4.95,4.95,4.94,4.85,4.92","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,39,,,"1840652,A Downtown Great GetAway!,2066370,Lisa,4/3/12,t,1,t,t,10,District 21,36.1766319274902,-86.80799103,157,1,Entire home/apt,10,2 baths,3,6,$325.00 ,190,1.47,4.77,4.81,4.88,4.94,4.93,4.39,4.74","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,40,,,"1951714,Cheap Vandy / Downtown Nashville CrashPad,7720839,Michelle,7/25/13,f,1,t,t,4,District 17,36.14549,-86.78686,89,1,Shared room,3,1 bath,2,1,$500.00 ,7,0.05,4.86,4.86,4.86,5,5,4.86,5","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,41,,,"1954040,Vintage style Eastside bungalow,8196681,Anita,8/16/13,t,1,t,t,1,District 7,36.20338,-86.7296,308,1,Private room,2,1 bath,1,1,$68.00 ,454,3.56,4.91,4.91,4.8,4.96,4.98,4.86,4.9","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,42,,,"2083878,3min to DWTN!/2 bds, 1.5bths/Private Suite,10643952,Khira,12/15/13,t,2,t,t,2,District 19,36.17069,-86.79121,223,1,Entire home/apt,5,1.5 baths,2,2,$113.00 ,665,5.21,4.84,4.91,4.93,4.92,4.85,4.73,4.85","{""delimiter"": "","", ""fields"": 30}",,,
